show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Sample Title 1,uTMxAcHz,pKvYqoitWfjmCsWlIz,Japan,21-2-2015,2009,PG-13,2 Seasons,Documentary,kCjbGqaAXOWPxWnBAhSivZoSAmoMCmwDGSTgXBzHvHIQOuCyLcpxqjqTOhfImG vXejEkLDYMgBWvUJaSjIutyBqgpwTHqbWGgmqyvWJOTmbDlNTRnBBeoK
s2,TV Show,Sample Title 2,BkyLDqlGLtqbR,hK OZBIHZWEQskLFPvYOGHBctslTbrPGoGEQlzO,Canada,5-6-2020,2014,PG,2 Seasons,Action,lWJtPHoDPzgieQwUUjxZKPiGqCfbGHmofSuCmsvPeJtmPrxSUjbGnlqoKgmvwYjzrKcoKiwxJXZGySuwUICsqNju CjmLPYZOkqbWEdSyULYBWXFCKPPqOnArtGKJjcmyPJv wgJihmzatjyVMAsYyBmQdwTYYYHTI
s3,TV Show,Sample Title 3,rXQzBTXLqEbEKBH,UAbXFGPQbuQSpkDRSzn,Japan,21-6-2022,2005,PG,3 Seasons,Comedy,dhUksmIMbNXRfLeYExRxJhdZrFqViGIylFJWePLJBoznKWhKeDBtwTpzOdCClLlmVCwiKSterpxTtVJKnaEcGHLVxoXALwziQlbVawVBwbtWV h
s4,TV Show,Sample Title 4,ZvTHeAjbWpw, KKLeflHfBTfoDpPGHczc,Japan,2-11-2021,2021,R,120 min,Action, ijXsP vbdTfFNNgItEoqbHPeydGSctXZsSSj aDGv SrPvhUAsssmRsrfKGnnaq EPNQjEwsBMUfYBEaOBMOouwObjTKFpNwrxYSUAGZjvGisqNz
s5,TV Show,Sample Title 5,xWgHRYUgV,KqfkmxSuuOxMqTWizY,India,23-5-2024,2017,PG,120 min,Drama,ZrtKYwkGXeUBbvzgkOAwdsKrUvrmFZlGnGWEMlVrzCtLfoxOojsxzuPSHPeJnrfOXoDVBfCIUzBvVtMjSsmygTcDb
s6,TV Show,Sample Title 6,DCcxIlfjmUJtIWthwy,mfkZjGNKzOQXQzevEBfRBlBrcAiIbtfrNLwCz,Japan,22-4-2024,2009,TV-MA,120 min,Comedy,KDsWpOG hanEGTzVWB JUFwAaOvoxbranMZgphigoLVsViMjWTbqGZs SzCteYUNyanDVOaLVriFDVoNfQyX MNpRfakROjNEiO lOQsAmvFIYPaaq qvkhSsSFDpbhrxILygVCyGNUwtDNLmheWhYSlxzbBxRXhCYfphVSzWbxJZlGJEEjAphhL
s7,Movie,Sample Title 7,VifWG ,loBurccKfqQNTsD,Japan,20-10-2019,2005,TV-14,2 Seasons,Documentary,lejOPeSvvVgkWzjb RAjVVdrISOYXtTYpdMgtLBRsFKWlWaqxWFibCLXWPLzhyViSOGqetXLLMCKLR xakAJrWmcIvaMNewCXqQVxEvuqopTHusnXcjfIzNGmwqEEcgaxGkBbuLaodcdDhCpnlzdcZGSGRkICihYnvLqReTqoTXOWCrrtScuwliMtXaLsdaAnDOWnsyC
s8,Movie,Sample Title 8,bUISRwc,DECO BlmPOEneyGvOvivw rZuACTbyvNy,Canada,12-8-2024,1991,TV-MA,3 Seasons,Documentary,U puvxatPBXgiuvIUoysyLklEZXcI exmFLuuQMtrQlUaHcEXcDzQSIwuCt QxeSYrGSxBDyuhMhHNwtQKnLESR HaSVJwCRoxiywieb XYKxDJsWGzQoZqXscAUJcJsVWXVgQIKCJlkydcqMvFtQOueWjp
s9,TV Show,Sample Title 9,QhzG SNw,KRxUZbxWbcMkDIXm,Japan,21-6-2022,2009,TV-MA,3 Seasons,Action,vbITPNEcZdBmcUscksxnkECHSepKAUqDxsPOodGQ rbnwbWanyBCFeLyqoMUvHSuoReeFkgkOpxfrUdkQOvHOHNnhuitiQWHdSikldqUqYp
s10,TV Show,Sample Title 10,sozFSruVptkMoFedEfy,tLtILbptDCzmMcUPYDEREDVgepmpsdTfFzw,Canada,11-7-2015,2008,PG,120 min,Comedy, kfmPoAIMPbCzNtBUIyFIbtMsmOnujOqqQXehzABWfyBoWAjvXjHwdJTwmbgYdDpXTgMjpgvFkGJBiqCskNkMexRH Rgsn
